"Month","No. of Banks live on UPI","Volume (in Mn)","Value (in Cr.)"
"Aug-21","249","3,555.55","6,39,116.95"
"Jul-21","235","3,247.82","6,06,281.14"
"Jun-21","229","2,807.51","5,47,373.17"
"May-21","224","2,539.57","4,90,638.65"
"Apr-21","220","2,641.06","4,93,663.68"
"Mar-21","216","2,731.68","5,04,886.44"
"Feb-21","213","2,292.90","4,25,062.76"
"Jan-21","207","2302.73","4,31,181.89"
"Dec-20","207","2,234.16","4,16,176.21"
"Nov-20","200","2,210.23","3,90,999.15"
"Oct-20","189","2,071.62","3,86,106.74"
"Sept-20","174","1,800.14","3,29,027.66"
"Aug-20","168","1618.83","2,98,307.61"
"July-20","164","1497.36","2,90,537.86"
"June-20","155","1336.93","2,61,835.00"
"May-20","155","1,234.50","218,391.60"
"Apr-20","153","999.57","151,140.66"
"Mar-20","148","1,246.84","206,462.31"
"Feb-20","146","1,325.69","222,516.95"
"Jan-20","144","1,305.02","216,242.97"
"Dec-19","143","1,308.40","202,520.76"
"Nov-19","143","1,218.77","189,229.09"
"Oct-19","141","1,148.36","191,359.94"
"Sept-19","141","955.02","161,456.56"
"Aug-19","141","918.35","154,504.89"
"July-19","143","822.29","146,386.64"
"June-19","142","754.54","146,566.35"
"May-19","143","733.54","152,449.29"
"Apr-19","144","781.79","142,034.39"
"Mar-19","142","799.54","133,460.72"
"Feb-19","139","674.19","106,737.12"
"Jan-19","134","672.75","109,932.43"
"Dec-18","129","620.17","102,594.82"
"Nov-18","128","524.94","82,232.21"
"Oct-18","128","482.36","74,978.27"
"Sep-18","122","405.87","59,835.36"
"Aug-18","114","312.02","54,212.26"
"July-18","114","273.75","51,843.14"
"June-18","110","246.37","40,834.03"
"May-18","101","189.48","33,288.51"
"Apr-18","97","190.08","27,021.85"
"Mar-18","91","178.05","24,172.6"
"Feb-18","86","171.40","19,126.2"
"Jan-18","71","151.83","15,571.2"
"Dec-17","67","145.64","13,174.24"
"Nov-17","61","105.02","9,669.33"
"Oct-17","60","76.96","7057.78"
"Sep-17","57","30.98","5,325.81"
"Aug-17","55","16.80","4,156.62"
"July-17","53","11.63","3,411.35"
"June-17","52","10.35","3,098.36"
"May-17","49","9.36","2,797.07"
"Apr-17","48","7.20","2,271.24"
"Mar-17","44","6.37","2,425.14"
"Feb-17","44","4.38","1,937.71"
"Jan-17","36","4.46","1,696.22"
"Dec-16","35","1.99","707.93"
"Nov-16","30","0.29","100.46"
"Oct-16","26","0.10","48.57"
"Sep-16","25","0.09","32.64"
"Aug-16","21","0.09","3.09"
"Jul-16","21","0.09","0.38"
"Jun-16","21","0.00","0.00"
"May-16","21","0.00","0.00"
"Apr-16","21","0.00","0.00"